"photo_url","id","mold","brand","plastic","color","stamped_weight_g","scale_weight_g","condition","price_usd","status","notes"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/002-fd.jpg","2","FD","Discmania","C-Line","red/yellow","175","176.6","9","8","sold","C-Line fairway driver; flight 7/6/0/1; two-tone red over yellow dye; Reinvent Your Game stamp; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/003-teaminnova.jpg","3","Sidewinder","Innova","Champion","green","168","168.4","8","8","sold","Team Innova stamp; flight 9/5/-3/1; translucent green Champion Sidewinder; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/004-buzzz.jpg","4","Buzzz","Discraft","unknown","unknown","177","178","9","7","sold","Custom donut stamp; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/005-buzzz.jpg","5","Buzzz","Discraft","ESP","pink","not stamped","180","8.5","10","sold","Paul McBeth 6X stamp; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/006-mako3.jpg","6","Mako3","Innova","unknown","yellow","171","172","9","7","sold","Custom shark design stamp; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/007-buzzz.jpg","7","Buzzz","Discraft","Z FLX","confetti swirl","not stamped","178.6","9","10","sold","Chris Dickerson 2024 Tour Series; no ink | Dickerson 2024 TS Z FLX Buzzz retails ~$25 new; 9/10 | sold to Chris Janovak (website) 2026-07-22; part of $41/5-disc order, Zelle, free ship"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/008-cicada.jpg","8","Cicada","Discraft","unknown","purple","not stamped","170","9","10","sold","Missy Gannon 2026 Tour Series; no ink | Gannon 2026 TS Cicada retails ~$23 new"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/009-valkyrie.jpg","9","Valkyrie","Innova","Champion","unknown","not stamped","171.5","8","8","sold","Distance driver; custom dye job; no ink | sold to Chris Janovak (website) 2026-07-22; part of $41/4-disc order, Zelle, free ship"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/010-raptor.jpg","10","Raptor","Discraft","Z","orange","not stamped","173","8","10","sold","Adam Hammes limited edition; flight 9/4/0/3; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/011-inertia.jpg","11","Inertia","MVP","Fission","pink","162","162","9.5","8","sold","Flight 9/5/-2.5/2; Fission micro-bubble distance driver; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/012-valkyrie.jpg","12","Valkyrie","Innova","Star","blue","not stamped","172","8.5","8","available","Flight 9/4/-2/2; Star plastic distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/013-firebird.jpg","13","Firebird","Innova","Glow","white","not stamped","172","8.5","13","sold","Nate Sexton NS signature Firebird; Glow plastic (confirmed); ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/014-mamba.jpg","14","Mamba","Innova","Star","green","not stamped","173","8.5","8","sold","Flight 11/6/-5/1; Star plastic distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/015-teebird.jpg","15","Teebird","Innova","Star","blue","not stamped","173","8.5","8","sold","Flight 7/5/0/2; fairway driver; plastic/color/ink from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/016-simon.jpg","16","unknown","Axiom","Neutron","yellow","175","176","9","10","sold","Simon Lizotte Simon Line signature disc (Axiom / MVP Disc Sports); exact mold + edition from photo sets final price; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/017-wraith.jpg","17","Wraith","Innova","Star","yellow","171","174","9","8","sold","Flight 11/5/-1/3; Star plastic; Halloween skeleton stamp; ink on back | sold on Whatnot 2026-07-22"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/018-leopard3.jpg","18","Leopard3","Innova","Halo Star","yellow","151","151","9","8","sold","Flight 7/5/-2/1; Halo Star plastic fairway driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/019-destroyer.jpg","19","Destroyer","Innova","Star","purple","not stamped","177","8.5","8","sold","Flight 12/5/-1/3; Star plastic distance driver; no ink | sold on Whatnot 2026-07-22"
"","20","Sidewinder","Innova","Star","orange","173","176","8","8","available","Flight 9/5/-3/1; Star plastic distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/021-defender.jpg","21","Defender","Dynamic Discs","Lucid Ice","pink","not stamped","175","9","8","sold","Flight 13/5/0/3; Lucid Ice plastic distance driver; no ink; color from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/022-mamba.jpg","22","Mamba","Innova","Halo Star","yellow","not stamped","172","9.5","8","available","Flight 11/6/-5/1; Halo Star plastic distance driver; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/023-kingofthenorth.jpg","23","unknown","Airborne Discs","unknown","green","not stamped","174","9","10","available","2022 King of the North tournament stamp; sword design; green; ink on back; Ask for more details"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/024-beast.jpg","24","Beast","Innova","Halo Star","yellow","not stamped","164","8","8","sold","Flight 10/5/-2/2; Halo Star plastic distance driver; yellow with orange rim; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/025-boss.jpg","25","Boss","Innova","Halo Star","green","170","171","8","8","available","Flight 13/5/-1/3; Halo Star plastic distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/026-wraith.jpg","26","Wraith","Innova","Halo Star","yellow","165","166","9","8","sold","Flight 11/5/-1/3; Halo Star plastic distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/027-heat.jpg","27","Heat","Discraft","Big Z","orange","171","172","9.5","8","sold","Flight 9/6/-3/1; Big Z plastic distance driver; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/028-scorch.jpg","28","Scorch","Discraft","Recycled ESP","purple","not stamped","172.5","9","8","available","Flight 11/6/-2/2; Recycled ESP distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/029-osprey.jpg","29","Osprey","Millennium","unknown","yellow-green","173","174","9","18","sold","Ken Climo Osprey; BRP Surly 19th Annual tournament stamp; Climo Ospreys are collectible - value depends on run/stamp, confirm from photo; no ink | eBay: Climo/Millennium Osprey w/ tournament stamp ~$15-25 to collectors"
"","30","Destroyer","Innova","Star","yellow","not stamped","176","8.5","10","sold","Flight 12/5/-1/3; Paul McBeth edition Star Destroyer; ink on front"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/031-venom.jpg","31","Venom","Discraft","Titanium","pink/mauve swirl","not stamped","166","9.5","8","sold","Flight 13/5/0/3; Titanium plastic distance driver; no ink; color from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/032-torrent.jpg","32","Torrent","DGA","SP-Line","green","not stamped","173","9","8","available","Flight 13/5/-2/2; SP-Line translucent distance driver; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/033-it.jpg","33","IT","Innova","unknown","purple/pink","172","173","8.5","7","sold","Flight 7/5/-2/2; fairway driver; ink on back; plastic from photo | sold to Chris Janovak (website) 2026-07-22; part of $41/4-disc order, Zelle, free ship"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/034-mamba.jpg","34","Mamba","Innova","unknown","purple","159","160","7.5","7","sold","Flight 11/6/-5/1; distance driver; ink on back; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/035-meteor.jpg","35","Meteor","Discraft","unknown","green","not stamped","unknown","9","7","sold","Flight 5/5/-3/1; midrange; no ink; weight not recorded; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/036-cigarra.jpg","36","Cigarra","Discraft","ESP","yellow","160","165","9","10","sold","Anthony Barela signature; Flight 7/6/-1/2; ESP plastic; no ink"
"","37","Diamond","Latitude 64","unknown","yellow","156","158","8","7","sold","Flight 8/6/-3/1; lightweight fairway driver; ink on back; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/038-escape.jpg","38","Escape","Dynamic Discs","Prime","orange","174","175","9","6","available","Flight 9/5/-1/2; distance driver; no ink; plastic/color from photo (possibly base)"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/039-venom.jpg","39","Venom","Discraft","ESP","clear","not stamped","171","8","10","available","First Run; Flight 13/5/0/3 as stamped; ESP distance driver; ink on back | First Run ESP Venom (2023) retails ~$20-22 new"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/040-scorch.jpg","40","Scorch","Discraft","Titanium","orange/yellow","not stamped","174","9","8","sold","Flight 11/6/-2/2; Titanium distance driver; no ink; color from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/041-photon.jpg","41","Photon","MVP","Fission","pink","not stamped","143","8","10","sold","Elaine King signature; Flight 11/5/-1.5/2.5; Fission distance driver; ink on back; very light 143g"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/042-dynasty.jpg","42","Dynasty","Infinite Discs","iBlend","pink","173.5","174","8.5","8","available","Flight 9/5/-1/2; iBlend distance driver; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/043-undertaker.jpg","43","Undertaker","Discraft","unknown","red","not stamped","174.5","8.5","7","available","Flight 9/5/-3/2; distance driver; ink on back; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/044-goliath.jpg","44","A3","Prodigy","500","blue","175","175","9","7","available","Prodigy A3 overstable approach; 500 plastic; 'King of the North' tournament stamp; flight 4/4/0/3"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/045-raider.jpg","45","Raider","Dynamic Discs","Lucid","white/clear","173","175","9","8","sold","Flight 13/5/-0.5/3; distance driver; possibly Lucid Glow; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/046-cicada.jpg","46","Cicada","Discraft","unknown","orange","not stamped","166","9","7","sold","Flight 7/6/-1/1; approach/midrange; no ink; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/047-zone-ss.jpg","47","Zone SS","Discraft","unknown","purple","not stamped","177","8.5","10","sold","First Run; Flight 4/4/-1/2; understable Zone approach; no ink; First Run collectible; plastic from photo | First Run Zone SS - sold out at retail, popular"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/048-thunderbird.jpg","48","Thunderbird","Innova","Champion","clear/pink","not stamped","170","8.5","8","sold","Flight 9/5/0/2; Champion plastic distance driver; clear with pink rim; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/049-bolt.jpg","49","Bolt","Latitude 64","Opto","blue","174","175","8.5","8","available","Flight 13/6/-2/3; Opto (Optoplastik) distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/050-a3.jpg","50","A3","Prodigy","unknown","blue","175","174","8.5","10","available","2022 King of the North tournament stamp; Prodigy A3 overstable approach; ink on back; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/051-circuit.jpg","51","Uplink","MVP","unknown","purple","177","177","8.5","10","sold","Circuit Challenge 2025 tournament stamp; stable approach disc; ink on back; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/052-docmantis.jpg","52","unknown","Discraft","unknown","pink","173","175","9.5","7","sold","Flight 8/4/-2/2 as stamped; 'Doc Mantis Toboggan / Degelo' stamp; ink on back; Ask for more details"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/053-explorer.jpg","53","Explorer","Latitude 64","Opto","white","173","174","8.5","8","available","Flight 7/5/-1/2; double stamp; fairway driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/054-sapphire.jpg","54","Sapphire","Latitude 64","unknown","orange","170","170","9","7","available","2021 Trilogy Challenge stamp; Flight 7/5/-3/1; lightweight distance driver; no ink; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/055-trace.jpg","55","Trace","MVP","Cosmic Neutron","multicolored","174","175","8.5","10","sold","Sarah Hokom World Champion signature; Flight 11/5/-1/2; Cosmic Neutron swirl; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/056-destroyer.jpg","56","Destroyer","Innova","Star","lime green","167","168","8.5","8","sold","Flight 12/5/-1/3; Star plastic distance driver; ink on back | sold on Whatnot 2026-07-22"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/057-tursas.jpg","57","Tursas","Westside Discs","unknown","light blue","173","174.9","8.5","7","available","Flight 5/5/-3/1; midrange; ink on back; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/058-shrike.jpg","58","Shrike","Innova","Pro","orange","175","175","8.5","6","available","Flight 13/6/-2/2; Pro plastic distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/059-fd.jpg","59","FD","Discmania","Q-Line","blue","174","175","9","12","sold","Premier FD; Flight 7/7/0/1 as stamped; Q-Line per dictation (confirm from photo); no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/060-leopard3.jpg","60","Leopard3","Innova","Halo Star","yellow/green","161","163","9","8","sold","Flight 7/5/-2/1; Halo plastic fairway driver; ink on back | sold to Chris Janovak (website) 2026-07-22; part of $41/4-disc order, Zelle, free ship"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/061-destroyer.jpg","61","Destroyer","Innova","Champion","yellow","not stamped","176","8.5","8","available","Flight 12/5/-1/3; Champion plastic distance driver; no ink"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/062-dd1.jpg","62","DD1","Discmania","S-Line","orange","174","175.8","9","10","sold","Flight 11/5/-1/2; S-Line distance driver; 2023 Minnesota Ams tournament stamp (Kaposia Oakwood / Bethel, Aug 17-20 2023); ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/063-tern.jpg","63","Tern","Innova","Halo Star","red","173.5","175","8.5","8","sold","Flight 12/6/-3/2; Halo Star plastic distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/065-charger.jpg","65","Charger","Innova","unknown","green","175","175","9","7","available","Flight 13/5/-1/2; distance driver; no ink; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/066-f2.jpg","66","Tern","Innova","Factory Second","yellow/blue","168","168","8.5","6","sold","Innova factory second - bottom stamp only says 'Innova', mold unknown; yellow with blue rim; flight unknown; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/067-virus.jpg","67","Virus","Axiom","Neutron","light blue","168","168","8.5","8","available","Flight 9/5/-3.5/1; Neutron plastic understable distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/068-destroyer.jpg","68","Destroyer","Innova","Pro","orange","not stamped","177","8","6","sold","Flight 12/5/-1/3; Pro plastic distance driver; ink on back"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/069-river.jpg","69","River","Latitude 64","unknown","orange","177","177","8.5","7","available","Flight 7/7/-1/1; fairway driver; ink on back; plastic from photo"
"https://raw.githubusercontent.com/summitaiautomations-ui/juddy/claude/photobooth-disc-pics-vueawx/disc-pics-data/photos/070-buzzz.jpg","70","Buzzz","Discraft","Recycled ESP","gray","not stamped","176","8.5","8","sold","Flight 5/4/-1/1; Recycled ESP midrange; no ink"
